#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4999_length_264_cov_0.791444_1     -             87 48934at2157          -            143   2.4e-12   47.0   0.0   1   1   1.1e-15   2.8e-12   46.8   0.0    41   113     7    81     3    86 0.88 # 3 # 263 # -1 # ID=4999_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
NODE_232_length_16999_cov_116.013533_19 -            244 48934at2157          -            143   1.7e-10   41.1   1.5   1   2    0.0077        20    5.1   0.6    11    70    48   106    42   112 0.81 # 16035 # 16766 # -1 # ID=232_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.467
NODE_232_length_16999_cov_116.013533_19 -            244 48934at2157          -            143   1.7e-10   41.1   1.5   2   2   5.7e-12   1.5e-08   34.7   0.0    64   120   129   191   117   197 0.84 # 16035 # 16766 # -1 # ID=232_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.467
NODE_1035_length_3444_cov_4.501634_3    -            236 48934at2157          -            143     4e-10   39.8   2.6   1   2     0.032        86    3.1   0.6    11    59    42    92    36    99 0.84 # 1927 # 2634 # -1 # ID=1035_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_1035_length_3444_cov_4.501634_3    -            236 48934at2157          -            143     4e-10   39.8   2.6   2   2   1.5e-12   3.9e-09   36.6   0.1    42   112   102   174    95   188 0.82 # 1927 # 2634 # -1 # ID=1035_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_279_length_15065_cov_65.769949_7   -            410 48934at2157          -            143   1.9e-05   24.6   0.2   1   2   6.3e-08   0.00017   21.6   0.0    78   111   154   187   143   212 0.82 # 8820 # 10049 # 1 # ID=279_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.476
NODE_279_length_15065_cov_65.769949_7   -            410 48934at2157          -            143   1.9e-05   24.6   0.2   2   2      0.35   9.3e+02   -0.3   0.1   114   140   359   385   323   387 0.77 # 8820 # 10049 # 1 # ID=279_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.476
NODE_468_length_9914_cov_6.973366_4     -            404 48934at2157          -            143   2.2e-05   24.5   1.4   1   3   2.9e-08   7.8e-05   22.7   0.0    78   130   154   213   151   219 0.81 # 2079 # 3290 # -1 # ID=468_4;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.336
NODE_468_length_9914_cov_6.973366_4     -            404 48934at2157          -            143   2.2e-05   24.5   1.4   2   3       2.2   5.8e+03   -2.9   0.0    93   111   315   333   310   343 0.85 # 2079 # 3290 # -1 # ID=468_4;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.336
NODE_468_length_9914_cov_6.973366_4     -            404 48934at2157          -            143   2.2e-05   24.5   1.4   3   3      0.97   2.6e+03   -1.7   0.3   116   140   360   384   330   386 0.79 # 2079 # 3290 # -1 # ID=468_4;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.336
NODE_689_length_6447_cov_3.553846_2     -            254 48934at2157          -            143   0.00028   20.9   0.1   1   1   2.1e-07   0.00057   19.9   0.1    78   122   143   187   141   195 0.89 # 121 # 882 # -1 # ID=689_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.310
NODE_654_length_6846_cov_5.780322_7     -            285 48934at2157          -            143     0.003   17.5   0.0   1   2       3.1   8.2e+03   -3.4   0.0     9    29    91   111    88   116 0.73 # 4515 # 5369 # -1 # ID=654_7;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.344
