# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Duplicated	Ga0485799_0204	6110	10657	-	1627.4	1308	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
4421at2	Duplicated	Ga0485799_0026	56020	60081	+	1532.8	1174	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	Ga0485799_0212	2872	6990	-	1263.3	793	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Complete	Ga0485799_0096	32580	36359	-	259.2	388	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Duplicated	Ga0485799_0777	1307	3994	-	601.9	564	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
91428at2	Duplicated	Ga0485799_0297	8958	11513	+	515.8	542	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Complete	Ga0485799_0226	4531	6564	-	747.7	477	https://www.orthodb.org/v10?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	Ga0485799_0543	340	2253	-	555.0	437	https://www.orthodb.org/v10?query=143460at2	GTP-binding protein
182107at2	Complete	Ga0485799_0313	7288	9084	-	727.0	490	https://www.orthodb.org/v10?query=182107at2	elongation factor 4
219876at2	Missing
223233at2	Duplicated	Ga0485799_0058	41970	44264	+	502.5	411	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
223233at2	Duplicated	Ga0485799_0624	513	2885	+	494.6	464	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Complete	Ga0485799_0059	40468	42228	+	613.4	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Duplicated	Ga0485799_0374	8210	9496	-	318.3	293	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
232152at2	Duplicated	Ga0485799_0667	124	1374	-	305.7	286	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	Ga0485799_0443	250	1767	-	264.0	281	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
267682at2	Duplicated	Ga0485799_0297	5291	6646	-	263.0	289	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Duplicated	Ga0485799_0302	4669	5943	-	405.3	329	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
353391at2	Duplicated	Ga0485799_0379	1346	2593	-	386.4	352	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Complete	Ga0485799_0126	19681	21162	-	175.3	216	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	Ga0485799_0042	26877	28073	-	301.8	287	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Duplicated	Ga0485799_0060	39594	40973	-	573.3	364	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
430176at2	Duplicated	Ga0485799_0836	918	2306	-	558.0	359	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
462069at2	Complete	Ga0485799_0033	10352	11533	-	177.8	203	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
469058at2	Complete	Ga0485799_0042	706	1722	+	434.9	292	https://www.orthodb.org/v10?query=469058at2	phenylalanine--tRNA ligase subunit alpha
504464at2	Duplicated	Ga0485799_0196	17463	19031	-	307.6	231	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
504464at2	Duplicated	Ga0485799_0660	886	2430	-	286.6	232	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
505485at2	Complete	Ga0485799_0073	39685	41232	-	219.3	244	https://www.orthodb.org/v10?query=505485at2	DNA repair protein RadA
533698at2	Duplicated	Ga0485799_0029	3435	4727	-	383.7	286	https://www.orthodb.org/v10?query=533698at2	Enolase
533698at2	Duplicated	Ga0485799_0943	227	1504	+	349.8	279	https://www.orthodb.org/v10?query=533698at2	Enolase
662686at2	Complete	Ga0485799_0338	12117	13091	+	238.4	226	https://www.orthodb.org/v10?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	Ga0485799_0254	11049	12758	-	808.7	541	https://www.orthodb.org/v10?query=665824at2	proline--tRNA ligase
761140at2	Complete	Ga0485799_0011	38711	40723	-	183.2	298	https://www.orthodb.org/v10?query=761140at2	methionine--tRNA ligase
776861at2	Complete	Ga0485799_0042	5222	5908	+	283.6	204	https://www.orthodb.org/v10?query=776861at2	cytidylate kinase
