#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Ga0485799_0001_72    -             68 2063644at2           -             40     9e-13   47.4  11.4   1   1   1.6e-14   6.4e-11   41.5  11.4     6    40    20    60     4    60 0.85 # 101190 # 101393 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.431
Ga0485799_0398_15    -             62 2063644at2           -             40   1.2e-05   24.6  11.5   1   1     5e-07    0.0019   17.6  11.5     2    38    13    58    12    60 0.68 # 6298 # 6483 # -1 # ID=398_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.258
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   1   7    0.0041        16    5.1   0.3    17    34     2    19     1    24 0.88 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   2   7   6.9e-05      0.27   10.7   1.3     2    39    17    54    16    55 0.91 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   3   7    0.0042        16    5.0   0.5    19    36    54    71    50    75 0.82 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   4   7    0.0035        13    5.3   0.4    16    34    61    79    60    84 0.89 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   5   7      0.07   2.7e+02    1.1   0.1     2    26    77   101    76   107 0.83 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   6   7     0.073   2.8e+02    1.1   0.1     2    26    97   121    96   126 0.83 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_0301_6     -            209 2063644at2           -             40    0.0093   15.4  15.1   7   7     0.073   2.8e+02    1.0   0.0     2    26   117   141   116   145 0.82 # 7313 # 7939 # -1 # ID=301_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
Ga0485799_1553_1     -            279 2063644at2           -             40     0.035   13.6   0.3   1   2   0.00017      0.67    9.5   0.0    28    38    23    33    20    35 0.90 # 58 # 894 # -1 # ID=1553_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.305
Ga0485799_1553_1     -            279 2063644at2           -             40     0.035   13.6   0.3   2   2     0.089   3.4e+02    0.8   0.0    17    28   217   228   209   228 0.86 # 58 # 894 # -1 # ID=1553_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.305
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_downloads/lineages/bacteria_odb10/hmms/2063644at2.hmm
# Target file:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/auto_lineage/run_bacteria_odb10/hmmer_output/2063644at2.out --cpu 1 /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_downloads/lineages/bacteria_odb10/hmms/2063644at2.hmm /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article
# Date:            Wed Jul 13 13:05:06 2022
# [ok]
