#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_56554_cov_106.661384_25 -             68 2063644at2           -             40   1.2e-12   47.4  11.4   1   1   1.6e-14   8.8e-11   41.5  11.4     6    40    20    60     4    60 0.85 # 21816 # 22019 # -1 # ID=14_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.426
NODE_371_length_11804_cov_4.094398_14  -             62 2063644at2           -             40   1.7e-05   24.6  11.5   1   1     5e-07    0.0027   17.6  11.5     2    38    13    58    12    60 0.68 # 6371 # 6556 # -1 # ID=371_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.258
NODE_6185_length_233_cov_72.923077_1   -             77 2063644at2           -             40    0.0017   18.2   8.2   1   4     0.075     4e+02    1.0   0.1    24    34     2    12     1    17 0.64 # 3 # 233 # -1 # ID=6185_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NODE_6185_length_233_cov_72.923077_1   -             77 2063644at2           -             40    0.0017   18.2   8.2   2   4     1e-05     0.055   13.4   1.4     2    39    10    47     9    48 0.92 # 3 # 233 # -1 # ID=6185_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NODE_6185_length_233_cov_72.923077_1   -             77 2063644at2           -             40    0.0017   18.2   8.2   3   4   0.00091       4.9    7.1   0.5    19    37    47    65    43    68 0.82 # 3 # 233 # -1 # ID=6185_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NODE_6185_length_233_cov_72.923077_1   -             77 2063644at2           -             40    0.0017   18.2   8.2   4   4   0.00071       3.8    7.5   0.2    16    34    54    72    53    76 0.90 # 3 # 233 # -1 # ID=6185_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NODE_1786_length_1213_cov_480.720070_1 -            403 2063644at2           -             40     0.041   13.8   0.1   1   4     0.011        57    3.7   0.0    10    21     8    19     5    21 0.92 # 3 # 1211 # 1 # ID=1786_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_1786_length_1213_cov_480.720070_1 -            403 2063644at2           -             40     0.041   13.8   0.1   2   4    0.0022        12    5.9   0.0    10    21   123   134   119   135 0.92 # 3 # 1211 # 1 # ID=1786_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_1786_length_1213_cov_480.720070_1 -            403 2063644at2           -             40     0.041   13.8   0.1   3   4      0.83   4.4e+03   -2.3   0.0    10    21   240   251   238   252 0.89 # 3 # 1211 # 1 # ID=1786_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_1786_length_1213_cov_480.720070_1 -            403 2063644at2           -             40     0.041   13.8   0.1   4   4      0.88   4.7e+03   -2.4   0.0    10    19   357   366   355   368 0.82 # 3 # 1211 # 1 # ID=1786_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_downloads/lineages/bacteria_odb10/hmms/2063644at2.hmm
# Target file:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/auto_lineage/run_bacteria_odb10/hmmer_output/2063644at2.out --cpu 1 /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_downloads/lineages/bacteria_odb10/hmms/2063644at2.hmm /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results
# Date:            Tue Jul 12 12:52:30 2022
# [ok]
