#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3134_length_419_cov_1.298246_1   -            128 61613at2157          -            354   1.1e-11   44.1   0.1   1   1   3.7e-15   1.3e-11   43.9   0.1    45   167     2   121     1   127 0.84 # 35 # 418 # 1 # ID=3134_1;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
NODE_1069_length_3129_cov_9.662516_2  -            167 61613at2157          -            354   6.9e-09   34.9   0.0   1   1   2.2e-12   7.6e-09   34.8   0.0    45   187     3   146     1   157 0.76 # 2546 # 3046 # -1 # ID=1069_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.263
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   1   6    0.0062        22    3.7   0.0   130   171   555   596   553   605 0.88 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   2   6      0.72   2.5e+03   -3.1   0.0   170   211   886   926   882   930 0.79 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   3   6    0.0062        22    3.7   0.0   130   171  1609  1650  1607  1659 0.88 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   4   6      0.72   2.5e+03   -3.1   0.0   170   211  1940  1980  1936  1984 0.79 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   5   6     0.031   1.1e+02    1.4   0.0   129   170  3109  3150  3106  3159 0.86 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_9_length_62297_cov_83.669335_19  -           5409 61613at2157          -            354   0.00014   20.8   2.8   6   6   0.00044       1.5    7.5   0.0   130   177  4168  4215  4166  4220 0.91 # 29584 # 45810 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.447
NODE_2990_length_443_cov_170.633880_1 -            147 61613at2157          -            354      0.17   10.6   0.1   1   1   6.6e-05      0.23   10.2   0.1   130   171    61   102    59   115 0.87 # 1 # 441 # 1 # ID=2990_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.476
NODE_629_length_7147_cov_82.598727_1  -           1694 61613at2157          -            354      0.18   10.6   0.0   1   1   9.8e-05      0.34    9.6   0.0   129   169   527   567   526   577 0.84 # 1 # 5082 # -1 # ID=629_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.444
NODE_1199_length_2609_cov_69.186809_1 -            869 61613at2157          -            354      0.22   10.2   0.0   1   1    0.0001      0.36    9.5   0.0   129   166   325   362   323   378 0.85 # 1 # 2607 # 1 # ID=1199_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.455
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed/busco_downloads/lineages/archaea_odb10/hmms/61613at2157.hmm
# Target file:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed/busco_trimmed/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed/busco_trimmed/auto_lineage/run_archaea_odb10/hmmer_output/61613at2157.out --cpu 1 /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed/busco_downloads/lineages/archaea_odb10/hmms/61613at2157.hmm /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed/busco_trimmed/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_trimmed
# Date:            Tue Jul 12 13:34:23 2022
# [ok]
