#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Ga0485799_0290_18    -            123 1776954at2           -             71   6.1e-19   67.5   1.4   1   1   5.1e-21     2e-17   62.6   1.4     1    70     2    92     2    93 0.85 # 13545 # 13913 # -1 # ID=290_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.436
Ga0485799_0681_6     -            119 1776954at2           -             71     2e-10   40.2   5.2   1   1   1.7e-12   6.4e-09   35.3   5.2     1    70     5    96     5    97 0.83 # 2372 # 2728 # -1 # ID=681_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.328
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   1  10      0.13     5e+02    0.5   0.0    40    70    10    40     8    41 0.72 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   2  10     0.023        88    2.9   0.1    57    70    38    51    35    52 0.84 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   3  10     0.023        91    2.8   0.1    57    70    49    62    47    63 0.84 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   4  10     0.024        92    2.8   0.3    57    70    71    84    69    96 0.86 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   5  10       0.5   1.9e+03   -1.4   0.0    57    70    93   106    90   107 0.82 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   6  10     0.023        90    2.8   0.2    57    70   115   128   111   129 0.85 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   7  10     0.023        91    2.8   0.1    57    70   126   139   124   140 0.84 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   8  10     0.022        86    2.9   0.0    57    70   137   150   134   151 0.85 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7   9  10     0.085   3.3e+02    1.0   0.0    58    70   160   172   158   173 0.83 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0591_2     -            249 1776954at2           -             71      0.82    9.4  18.7  10  10      0.57   2.2e+03   -1.6   0.0    11    31   193   213   181   215 0.54 # 3821 # 4567 # -1 # ID=591_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   1   9     0.016        63    3.3   0.2    56    70    25    39     9    40 0.89 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   2   9     0.026     1e+02    2.7   0.1    57    70    37    50    35    51 0.85 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   3   9       0.4   1.5e+03   -1.1   0.0    57    70    59    72    56    73 0.82 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
