# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Duplicated	NODE_123_length_24743_cov_6.667518	9489	14036	+	1628.2	1308	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
4421at2	Duplicated	NODE_412_length_11180_cov_101.438260	2744	6805	-	1532.8	1174	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_155_length_21809_cov_88.795877	2644	6762	-	1263.3	793	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Complete	NODE_1135_length_2856_cov_4.148974	340	2547	-	317.7	403	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Duplicated	NODE_246_length_16487_cov_106.441012	51	2738	+	601.9	564	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
91428at2	Duplicated	NODE_848_length_4703_cov_6.957631	1675	4230	-	516.4	542	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Complete	NODE_176_length_20021_cov_71.489420	3958	5991	-	747.7	477	https://www.orthodb.org/v10?query=95696at2	excinuclease ABC subunit B
143460at2	Fragmented	NODE_629_length_7147_cov_82.598727	5432	7147	+	495.1	393	https://www.orthodb.org/v10?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_283_length_15122_cov_92.341908	7440	9236	-	727.0	490	https://www.orthodb.org/v10?query=182107at2	elongation factor 4
219876at2	Complete	NODE_1292_length_2287_cov_2.839367	398	1711	-	253.2	263	https://www.orthodb.org/v10?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Duplicated	NODE_296_length_14746_cov_146.957870	6587	8881	-	502.5	411	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
223233at2	Duplicated	NODE_699_length_6299_cov_5.545805	3415	5787	-	494.6	464	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Duplicated	NODE_189_length_19387_cov_94.987157	10575	12335	+	613.4	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
226836at2	Duplicated	NODE_237_length_16869_cov_8.797939	14054	15817	+	584.0	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Duplicated	NODE_357_length_12677_cov_63.335238	8353	9639	-	318.3	293	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
232152at2	Duplicated	NODE_243_length_16582_cov_3.867555	3345	4595	-	305.7	286	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	NODE_714_length_6147_cov_81.665074	4456	5973	+	264.0	281	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
267682at2	Duplicated	NODE_542_length_8534_cov_5.967364	1917	3272	+	263.1	289	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Duplicated	NODE_321_length_13931_cov_69.078100	8658	9932	+	405.3	329	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
353391at2	Duplicated	NODE_127_length_24396_cov_8.498376	12172	13419	-	386.2	352	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Complete	NODE_76_length_29591_cov_90.848411	8478	9959	+	175.3	216	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	NODE_19_length_53876_cov_137.269392	25926	27122	+	301.8	287	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
402899at2	Duplicated	NODE_1195_length_2617_cov_5.472835	2	1198	+	274.8	285	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Duplicated	NODE_59_length_33138_cov_86.800823	23807	25186	-	573.3	364	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
430176at2	Duplicated	NODE_1006_length_3562_cov_4.387374	1092	2480	+	558.0	359	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
462069at2	Complete	NODE_166_length_20702_cov_98.868848	12296	13477	+	177.8	203	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
