# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Duplicated	NODE_124_length_24743_cov_6.685640	9489	14036	+	1628.2	1308	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
4421at2	Duplicated	NODE_403_length_11244_cov_101.178025	4376	8437	+	1532.8	1174	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_152_length_21680_cov_89.291163	2644	6762	-	1263.3	793	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Complete	NODE_1144_length_2856_cov_4.149694	340	2547	-	317.7	403	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Duplicated	NODE_243_length_16487_cov_106.652834	51	2738	+	601.9	564	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
91428at2	Duplicated	NODE_849_length_4703_cov_6.957631	1675	4230	-	516.4	542	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Complete	NODE_178_length_20021_cov_72.209386	3958	5991	-	747.7	477	https://www.orthodb.org/v10?query=95696at2	excinuclease ABC subunit B
143460at2	Fragmented	NODE_627_length_7147_cov_82.783876	5432	7147	+	495.1	393	https://www.orthodb.org/v10?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_273_length_15254_cov_91.901100	7440	9236	-	727.0	490	https://www.orthodb.org/v10?query=182107at2	elongation factor 4
219876at2	Complete	NODE_1303_length_2287_cov_2.625339	398	1711	-	253.2	263	https://www.orthodb.org/v10?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Duplicated	NODE_293_length_14746_cov_147.813757	6587	8881	-	502.5	411	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
223233at2	Duplicated	NODE_701_length_6299_cov_5.558020	3415	5787	-	494.6	464	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Duplicated	NODE_189_length_19387_cov_95.134024	10575	12335	+	613.4	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
226836at2	Duplicated	NODE_236_length_16869_cov_8.832658	14054	15817	+	584.0	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Duplicated	NODE_349_length_12677_cov_63.400397	8353	9639	-	318.3	293	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
232152at2	Duplicated	NODE_240_length_16582_cov_3.867555	3345	4595	-	305.7	286	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	NODE_717_length_6147_cov_82.012026	4456	5973	+	264.0	281	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
267682at2	Duplicated	NODE_538_length_8534_cov_5.967364	1917	3272	+	263.1	289	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Duplicated	NODE_317_length_13932_cov_70.237532	8644	9918	+	405.3	329	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
353391at2	Duplicated	NODE_126_length_24396_cov_8.516798	12172	13419	-	386.2	352	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Complete	NODE_76_length_29591_cov_91.055804	8478	9959	+	175.3	216	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	NODE_20_length_53635_cov_137.680010	25655	26851	+	301.8	287	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
402899at2	Duplicated	NODE_1202_length_2617_cov_5.473228	2	1198	+	274.8	285	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Duplicated	NODE_60_length_33138_cov_86.984544	23807	25186	-	573.3	364	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
430176at2	Duplicated	NODE_1013_length_3562_cov_4.410617	1092	2480	+	558.0	359	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
462069at2	Complete	NODE_165_length_20702_cov_98.993018	12296	13477	+	177.8	203	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
469058at2	Complete	NODE_20_length_53635_cov_137.680010	52094	53110	-	434.9	292	https://www.orthodb.org/v10?query=469058at2	phenylalanine--tRNA ligase subunit alpha
504464at2	Duplicated	NODE_268_length_15571_cov_90.366787	4335	5903	+	307.6	231	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
504464at2	Duplicated	NODE_773_length_5375_cov_4.108343	2946	4490	+	286.6	232	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
505485at2	Complete	NODE_98_length_26888_cov_98.135131	23398	24945	-	219.3	244	https://www.orthodb.org/v10?query=505485at2	DNA repair protein RadA
533698at2	Duplicated	NODE_116_length_25401_cov_121.742774	20606	21898	+	383.7	286	https://www.orthodb.org/v10?query=533698at2	Enolase
533698at2	Duplicated	NODE_1203_length_2616_cov_8.960221	216	1493	+	349.8	279	https://www.orthodb.org/v10?query=533698at2	Enolase
662686at2	Complete	NODE_149_length_22071_cov_178.576930	11461	12435	+	238.4	226	https://www.orthodb.org/v10?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_222_length_17342_cov_72.341848	10149	11858	-	808.7	541	https://www.orthodb.org/v10?query=665824at2	proline--tRNA ligase
761140at2	Complete	NODE_19_length_54395_cov_98.907231	38976	40988	+	183.2	298	https://www.orthodb.org/v10?query=761140at2	methionine--tRNA ligase
776861at2	Complete	NODE_20_length_53635_cov_137.680010	47908	48594	-	283.6	204	https://www.orthodb.org/v10?query=776861at2	cytidylate kinase
837522at2	Complete	NODE_60_length_33138_cov_86.984544	27929	29470	-	655.6	408	https://www.orthodb.org/v10?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_62_length_32682_cov_78.372980	8952	9857	+	150.1	185	https://www.orthodb.org/v10?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_7_length_68999_cov_106.732045	64364	65392	-	422.9	272	https://www.orthodb.org/v10?query=874197at2	Holliday junction DNA helicase RuvB
923547at2	Duplicated	NODE_206_length_18333_cov_98.442923	851	1945	-	448.6	308	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
923547at2	Duplicated	NODE_1170_length_2751_cov_6.059760	41	1036	-	400.8	312	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_21_length_50633_cov_89.725532	25047	26324	+	667.6	417	https://www.orthodb.org/v10?query=932854at2	phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_19_length_54395_cov_98.907231	27912	29213	+	71.8	283	https://www.orthodb.org/v10?query=932993at2	trigger factor
961486at2	Duplicated	NODE_14_length_56554_cov_106.661384	24010	24828	-	231.7	172	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
961486at2	Duplicated	NODE_371_length_11804_cov_4.094398	8291	9118	-	199.1	197	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
981870at2	Duplicated	NODE_57_length_33650_cov_101.554672	27410	28480	+	326.4	261	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
981870at2	Duplicated	NODE_520_length_8838_cov_8.233307	1691	2764	+	295.6	258	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
984717at2	Complete	NODE_273_length_15254_cov_91.901100	3915	4811	-	229.0	224	https://www.orthodb.org/v10?query=984717at2	GTPase Era
1009041at2	Complete	NODE_62_length_32682_cov_78.372980	10934	12115	+	249.0	217	https://www.orthodb.org/v10?query=1009041at2	cell division protein FtsZ
1024388at2	Complete	NODE_111_length_25662_cov_105.666914	17712	18872	-	447.8	307	https://www.orthodb.org/v10?query=1024388at2	methionine adenosyltransferase
1036075at2	Missing
1043239at2	Duplicated	NODE_232_length_16999_cov_116.013533	16035	16766	-	152.9	153	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1043239at2	Duplicated	NODE_1035_length_3444_cov_4.501634	1927	2634	-	134.3	143	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_187_length_19456_cov_93.797255	3114	4652	+	610.1	437	https://www.orthodb.org/v10?query=1049662at2	Bifunctional purine biosynthesis protein PurH
